REM INSERTING into EXPORT_TABLE
SET DEFINE OFF;
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aACXhpuphvlUakYncZho','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aaGDJkyftehhNTgFKZRh','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aBQGfCKiOznYbyTxZjcj','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aCrrDatXeukIsjeYMMpK','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('AdfuLsTNHXBwKhQBtaIX','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('adjDPpgXLsUeFIOUzflr','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aDrTmpvPJbfGUuGXtuaS','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aDUHzvhyvuZwYSNeyyKf','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aEEqqrSKnucmQCHilxol','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aGVaqUoycsQZpMlklcFc','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aIOKuCCZXRLMskkXBXRT','F','3',null,null);
Insert into EXPORT_TABLE (NOME,TIPO,"Nº ESTRELAS",TELEFONE,FAX) values ('aMWPAoxrmSuffRPbPsTE','F','3',null,null);
